Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
CNN/5_dropout_01,Global,1875.0,0.6842851615567619,0.6842851615567619,,,0.6442823320771403
CNN/5_dropout_01,Building,359.0,0.8105849582172702,0.7864864864864864,0.9478891820580475,0.7983539094650206,
CNN/5_dropout_01,Small car,332.0,0.8975903614457831,0.6260504201680672,0.8846403110823072,0.7376237623762375,
CNN/5_dropout_01,Truck,221.0,0.27149321266968324,0.37037037037037035,0.9383313180169287,0.31331592689295035,
CNN/5_dropout_01,Bus,177.0,0.3559322033898305,0.4666666666666667,0.9575971731448764,0.4038461538461538,
CNN/5_dropout_01,Shipping container,152.0,0.5526315789473685,0.6666666666666666,0.975623911781776,0.60431654676259,
CNN/5_dropout_01,Storage tank,147.0,0.6258503401360545,0.6618705035971223,0.9728009259259259,0.6433566433566433,
CNN/5_dropout_01,Dump truck,124.0,0.4274193548387097,0.5353535353535354,0.9737292975442604,0.4753363228699552,
CNN/5_dropout_01,Motorboat,107.0,0.7289719626168224,0.7222222222222222,0.9830316742081447,0.7255813953488371,
CNN/5_dropout_01,Excavator,79.0,0.7215189873417721,0.6627906976744186,0.9838530066815144,0.6909090909090908,
CNN/5_dropout_01,Fishing vessel,71.0,0.7323943661971831,0.7323943661971831,0.9894678492239468,0.7323943661971831,
CNN/5_dropout_01,Cargo plane,64.0,0.9375,0.8571428571428571,0.9944781888459415,0.8955223880597014,
CNN/5_dropout_01,Pylon,31.0,0.6774193548387096,0.8076923076923077,0.9972885032537961,0.7368421052631579,
CNN/5_dropout_01,Helipad,11.0,0.6363636363636364,1.0,1.0,0.7777777777777778,
