epoch,loss,accuracy,val_loss,val_accuracy,lr,checkpoint
0,2.468635082244873,0.27413904666900635,2.510924816131592,0.19146665930747986,0.001,False
1,1.8468327522277832,0.38498014211654663,2.10370135307312,0.35040000081062317,0.001,False
2,1.678883671760559,0.4277161955833435,2.044362783432007,0.31253331899642944,0.001,False
3,1.6997640132904053,0.42546382546424866,5.327041149139404,0.226133331656456,0.001,False
4,1.6632441282272339,0.44899532198905945,2.261012554168701,0.2794666588306427,0.001,False
5,1.5991532802581787,0.46351727843284607,1.7741634845733643,0.3840000033378601,0.001,False
6,1.4647529125213623,0.5041195154190063,1.210116982460022,0.6021333336830139,0.001,False
7,1.3747907876968384,0.5379052758216858,1.3259321451187134,0.537066638469696,0.001,False
8,1.3062529563903809,0.5582953095436096,1.421392798423767,0.53493332862854,0.001,False
9,1.3111191987991333,0.5628593564033508,1.8148717880249023,0.4528000056743622,0.001,False
10,1.2240350246429443,0.5866872072219849,1.393101692199707,0.562666654586792,0.001,False
11,1.1327993869781494,0.6146641969680786,1.0370680093765259,0.6597333550453186,0.001,False
12,1.147148847579956,0.6056546568870544,1.2142665386199951,0.6176000237464905,0.001,False
13,1.096173644065857,0.6228439211845398,1.5667787790298462,0.47253334522247314,0.001,False
14,1.0743910074234009,0.6332167387008667,1.0839442014694214,0.6607999801635742,0.001,False
15,0.9597143530845642,0.6696698665618896,0.9052301049232483,0.6949333548545837,0.001,False
16,1.1364740133285522,0.6345207691192627,1.2519291639328003,0.590399980545044,0.001,False
17,0.8962345719337463,0.6787386536598206,0.9519317150115967,0.6826666593551636,0.001,False
18,0.7830327749252319,0.7159030437469482,0.9481849670410156,0.7071999907493591,0.001,False
19,0.72593754529953,0.7335664629936218,1.0082846879959106,0.6981333494186401,0.001,False
