Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
CNN/5_dropout_03,Global,1875.0,0.6920999372082499,0.6920999372082499,,,0.6704089851698688
CNN/5_dropout_03,Building,359.0,0.83008356545961,0.7740259740259741,0.9426121372031663,0.8010752688172045,
CNN/5_dropout_03,Small car,332.0,0.8403614457831325,0.687192118226601,0.9176928062216462,0.7560975609756098,
CNN/5_dropout_03,Truck,221.0,0.24434389140271492,0.4090909090909091,0.9528415961305925,0.3059490084985836,
CNN/5_dropout_03,Bus,177.0,0.5480225988700564,0.48258706467661694,0.9387514723203769,0.5132275132275133,
CNN/5_dropout_03,Shipping container,152.0,0.5723684210526315,0.6744186046511628,0.975623911781776,0.6192170818505337,
CNN/5_dropout_03,Storage tank,147.0,0.6666666666666666,0.6533333333333333,0.9699074074074074,0.6599326599326599,
CNN/5_dropout_03,Dump truck,124.0,0.4274193548387097,0.5824175824175825,0.9782981153626499,0.4930232558139535,
CNN/5_dropout_03,Motorboat,107.0,0.7757009345794392,0.6384615384615384,0.9734162895927602,0.70042194092827,
CNN/5_dropout_03,Excavator,79.0,0.7721518987341772,0.7176470588235294,0.9866369710467706,0.7439024390243902,
CNN/5_dropout_03,Fishing vessel,71.0,0.6901408450704225,0.765625,0.9916851441241685,0.725925925925926,
CNN/5_dropout_03,Cargo plane,64.0,0.9375,0.9375,0.9977912755383765,0.9375,
CNN/5_dropout_03,Pylon,31.0,0.7741935483870968,0.8,0.9967462039045553,0.7868852459016393,
CNN/5_dropout_03,Helipad,11.0,0.6363636363636364,0.875,0.9994635193133047,0.7368421052631579,
