epoch,loss,accuracy,val_loss,val_accuracy,lr,checkpoint
0,2.8387317657470703,0.17953886091709137,2.3146777153015137,0.23946666717529297,0.001,False
1,2.171534299850464,0.27396124601364136,2.045872449874878,0.29280000925064087,0.001,False
2,2.0874366760253906,0.29938948154449463,2.069805145263672,0.2890666723251343,0.001,False
3,1.974955677986145,0.33080434799194336,1.992047667503357,0.31253331899642944,0.001,False
4,1.889468789100647,0.3507794439792633,1.9851360321044922,0.34293332695961,0.001,False
5,1.9017010927200317,0.35670676827430725,2.1512606143951416,0.31253331899642944,0.001,False
6,1.809562087059021,0.3814830183982849,1.8017417192459106,0.3792000114917755,0.001,False
7,1.708866834640503,0.4106454849243164,2.0084521770477295,0.2826666533946991,0.001,False
8,1.6419175863265991,0.43779265880584717,2.19417142868042,0.2800000011920929,0.001,False
9,1.5985984802246094,0.44946950674057007,1.6164791584014893,0.46133333444595337,0.001,False
10,1.523468255996704,0.4788690507411957,1.7184209823608398,0.46826666593551636,0.001,False
11,1.5575392246246338,0.46630311012268066,2.5300233364105225,0.2613333463668823,0.001,False
12,1.6300345659255981,0.4514255225658417,2.018019914627075,0.36959999799728394,0.001,False
13,1.5030763149261475,0.4899531602859497,1.4485998153686523,0.5152000188827515,0.001,False
14,1.5799840688705444,0.46215400099754333,1.6669946908950806,0.4346666634082794,0.001,False
15,1.584181547164917,0.4648805558681488,1.4616963863372803,0.5135999917984009,0.001,False
16,1.5197333097457886,0.4863375127315521,2.295766830444336,0.3434666693210602,0.001,False
17,1.5088798999786377,0.48183274269104004,1.912751317024231,0.35306665301322937,0.001,False
18,1.4379929304122925,0.5089206099510193,1.9544737339019775,0.4341333210468292,0.001,False
19,1.3799279928207397,0.5416987538337708,1.4993987083435059,0.5269333124160767,0.0005,False
