epoch,loss,accuracy,val_loss,val_accuracy,lr,checkpoint
0,1.6140445470809937,0.5312073826789856,1.0338590145111084,0.6480000019073486,0.001,False
1,1.1857441663742065,0.6175686120986938,1.027784824371338,0.6607999801635742,0.001,False
2,1.0783360004425049,0.6455456018447876,0.8679814338684082,0.7077333331108093,0.001,False
3,1.0225028991699219,0.6664097905158997,0.8696784973144531,0.7039999961853027,0.001,False
4,0.9683220982551575,0.6785608530044556,0.8395729660987854,0.7167999744415283,0.001,False
5,0.9319155812263489,0.6911267638206482,0.9058387875556946,0.7088000178337097,0.001,False
6,0.8999429941177368,0.7004327178001404,0.8334000706672668,0.7237333059310913,0.001,False
7,0.8683521747589111,0.7068935036659241,0.8623465299606323,0.7264000177383423,0.001,False
8,0.8478692770004272,0.7124651670455933,0.8883054852485657,0.7279999852180481,0.001,False
9,0.8276008367538452,0.718748152256012,0.8114588260650635,0.7338666915893555,0.001,False
10,0.8186780214309692,0.7193408608436584,0.8097740411758423,0.7397333383560181,0.001,False
11,0.7880441546440125,0.7275205850601196,0.8140972852706909,0.7418666481971741,0.001,False
12,0.7785620093345642,0.7318475246429443,0.7860264778137207,0.7333333492279053,0.001,False
13,0.7481071949005127,0.7425167560577393,0.7775410413742065,0.7493333220481873,0.001,False
14,0.7521029114723206,0.743702232837677,0.82411128282547,0.7391999959945679,0.001,False
15,0.7458629012107849,0.743702232837677,0.8040467500686646,0.7472000122070312,0.001,False
16,0.7319902181625366,0.7495110034942627,0.749267578125,0.7610666751861572,0.001,False
17,0.7128251791000366,0.7536601424217224,0.751236081123352,0.7530666589736938,0.001,False
18,0.7057675719261169,0.7572165131568909,0.7963706254959106,0.7429333329200745,0.001,False
19,0.7046554684638977,0.7544306516647339,0.7418380379676819,0.751466691493988,0.001,False
