epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6126.79,1.6924,1.05946,1.19037,0.45006,0.48423,0.44211,0.20928,1.67841,1.07871,1.21679,0.000742625,0.000742625,0.000742625
43,6205.32,1.69258,1.05121,1.18671,0.44928,0.48689,0.43761,0.20972,1.65877,1.07383,1.20688,0.00073025,0.00073025,0.00073025
44,6286.19,1.69242,1.04893,1.18778,0.45145,0.49327,0.44156,0.2107,1.66147,1.07486,1.20534,0.000717875,0.000717875,0.000717875
45,6368.27,1.68508,1.04929,1.18555,0.45749,0.50275,0.4471,0.21436,1.66412,1.07109,1.21023,0.0007055,0.0007055,0.0007055
46,6447.7,1.68163,1.0409,1.18545,0.44772,0.48874,0.43736,0.20785,1.67397,1.07029,1.20915,0.000693125,0.000693125,0.000693125
47,6525.89,1.68363,1.04204,1.18691,0.44217,0.48912,0.43735,0.20704,1.6742,1.06373,1.22218,0.00068075,0.00068075,0.00068075
48,6604.25,1.6834,1.03682,1.18718,0.45841,0.49554,0.44617,0.21382,1.66262,1.06365,1.20853,0.000668375,0.000668375,0.000668375
49,6686.03,1.68065,1.03074,1.18243,0.45327,0.49785,0.44159,0.21186,1.66963,1.06688,1.21092,0.000656,0.000656,0.000656
50,6767.55,1.68027,1.03068,1.17723,0.46953,0.49023,0.45089,0.2162,1.66533,1.06505,1.20841,0.000643625,0.000643625,0.000643625
51,6845.84,1.66781,1.03009,1.18147,0.46375,0.49048,0.44861,0.21438,1.67093,1.05888,1.21122,0.00063125,0.00063125,0.00063125
52,6924.22,1.67313,1.02709,1.181,0.44355,0.50147,0.44492,0.21206,1.67124,1.06572,1.21215,0.000618875,0.000618875,0.000618875
53,7002.8,1.66434,1.02188,1.17556,0.47813,0.49894,0.45422,0.21833,1.66659,1.05662,1.21065,0.0006065,0.0006065,0.0006065
54,7083.97,1.66571,1.02323,1.17718,0.47539,0.50241,0.45574,0.21809,1.6674,1.04927,1.21393,0.000594125,0.000594125,0.000594125
