epoch,loss,accuracy,val_loss,val_accuracy,lr,checkpoint
0,2.941882371902466,0.26613715291023254,1.9498164653778076,0.3456000089645386,0.001,False
1,2.0244786739349365,0.312133252620697,1.842280626296997,0.3818666636943817,0.001,False
2,1.9152699708938599,0.3390433192253113,1.7303178310394287,0.42026665806770325,0.001,False
3,1.8626976013183594,0.34852704405784607,1.7636663913726807,0.3957333266735077,0.001,False
4,1.8081152439117432,0.35646969079971313,1.6394562721252441,0.4485333263874054,0.001,False
5,1.7503002882003784,0.37680041790008545,1.6239691972732544,0.4496000111103058,0.001,False
6,1.7116581201553345,0.3823128342628479,1.574596881866455,0.47519999742507935,0.001,False
7,1.6788012981414795,0.3938118517398834,1.5850622653961182,0.46239998936653137,0.001,False
8,1.63611900806427,0.4028806686401367,1.5788112878799438,0.48053333163261414,0.001,False
9,1.6107497215270996,0.41224586963653564,1.5990773439407349,0.46239998936653137,0.001,False
10,1.5821815729141235,0.41331279277801514,1.5580146312713623,0.4896000027656555,0.001,False
11,1.5463048219680786,0.4246932566165924,1.5340750217437744,0.48533332347869873,0.001,False
12,1.5226112604141235,0.4337027966976166,1.5666439533233643,0.4901333451271057,0.001,False
13,1.4747766256332397,0.44709858298301697,1.5289627313613892,0.4896000027656555,0.001,False
14,1.466919183731079,0.45024004578590393,1.7283577919006348,0.46880000829696655,0.001,False
15,1.4550378322601318,0.4518997073173523,1.596129059791565,0.5050666928291321,0.001,False
16,1.4173262119293213,0.46802204847335815,1.5342059135437012,0.5135999917984009,0.001,False
17,1.3868756294250488,0.4801730811595917,1.5304715633392334,0.5311999917030334,0.001,False
18,1.3731812238693237,0.4849149286746979,1.5459284782409668,0.537066638469696,0.001,False
19,1.346855640411377,0.48983463644981384,1.5100071430206299,0.5402666926383972,0.001,False
