Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
TL/1_vgg16,Global,1875.0,0.7657900319292094,0.7657900319292094,,,0.6920164027806408
TL/1_vgg16,Building,359.0,0.8997214484679665,0.8455497382198953,0.9610817941952506,0.8717948717948718,
TL/1_vgg16,Small car,332.0,0.8614457831325302,0.7606382978723404,0.9416720674011666,0.807909604519774,
TL/1_vgg16,Truck,221.0,0.416289592760181,0.3770491803278688,0.9081015719467956,0.39569892473118273,
TL/1_vgg16,Bus,177.0,0.5310734463276836,0.5875,0.9611307420494699,0.5578635014836795,
TL/1_vgg16,Shipping container,152.0,0.7105263157894737,0.7105263157894737,0.9744631456761462,0.7105263157894737,
TL/1_vgg16,Storage tank,147.0,0.8503401360544217,0.8680555555555556,0.9890046296296297,0.8591065292096219,
TL/1_vgg16,Dump truck,124.0,0.4435483870967742,0.5851063829787234,0.9777270131353513,0.5045871559633028,
TL/1_vgg16,Motorboat,107.0,0.6915887850467289,0.7551020408163265,0.9864253393665159,0.721951219512195,
TL/1_vgg16,Excavator,79.0,0.7468354430379747,0.8805970149253731,0.9955456570155902,0.8082191780821918,
TL/1_vgg16,Fishing vessel,71.0,0.6619718309859155,0.7230769230769231,0.9900221729490022,0.6911764705882353,
TL/1_vgg16,Cargo plane,64.0,0.921875,1.0,1.0,0.959349593495935,
TL/1_vgg16,Pylon,31.0,0.8064516129032258,0.8620689655172413,0.9978308026030369,0.8333333333333334,
TL/1_vgg16,Helipad,11.0,0.45454545454545453,1.0,1.0,0.625,
