Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
CNN/5_dropout_06,Global,1875.0,0.7242624341038207,0.7242624341038207,,,0.6831394430104188
CNN/5_dropout_06,Building,359.0,0.8802228412256268,0.7959697732997482,0.9465699208443272,0.835978835978836,
CNN/5_dropout_06,Small car,332.0,0.8765060240963856,0.7063106796116505,0.9215813350615684,0.7822580645161291,
CNN/5_dropout_06,Truck,221.0,0.23529411764705882,0.3880597014925373,0.9504232164449818,0.2929577464788732,
CNN/5_dropout_06,Bus,177.0,0.5084745762711864,0.5732484076433121,0.9605418138987044,0.5389221556886228,
CNN/5_dropout_06,Shipping container,152.0,0.7236842105263158,0.6214689265536724,0.9611143354614046,0.6686930091185411,
CNN/5_dropout_06,Storage tank,147.0,0.6530612244897959,0.7384615384615385,0.9803240740740741,0.6931407942238268,
CNN/5_dropout_06,Dump truck,124.0,0.5241935483870968,0.5603448275862069,0.970873786407767,0.5416666666666666,
CNN/5_dropout_06,Motorboat,107.0,0.7009345794392523,0.7009345794392523,0.9819004524886877,0.7009345794392523,
CNN/5_dropout_06,Excavator,79.0,0.7848101265822784,0.7560975609756098,0.9888641425389755,0.7701863354037267,
CNN/5_dropout_06,Fishing vessel,71.0,0.704225352112676,0.7575757575757576,0.991130820399113,0.7299270072992701,
CNN/5_dropout_06,Cargo plane,64.0,0.9375,0.9836065573770492,0.9994478188845941,0.96,
CNN/5_dropout_06,Pylon,31.0,0.8064516129032258,0.8333333333333334,0.9972885032537961,0.819672131147541,
CNN/5_dropout_06,Helipad,11.0,0.5454545454545454,1.0,1.0,0.7058823529411764,
