Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
TL/04_efficientnetv2_without_tl,Global,1875.0,0.6775978310635513,0.6775978310635513,,,0.6389513720681657
TL/04_efficientnetv2_without_tl,Building,359.0,0.7994428969359332,0.7972222222222223,0.9518469656992085,0.7983310152990264,
TL/04_efficientnetv2_without_tl,Small car,332.0,0.8403614457831325,0.7117346938775511,0.9267660401814647,0.770718232044199,
TL/04_efficientnetv2_without_tl,Truck,221.0,0.33031674208144796,0.37244897959183676,0.9256348246674728,0.3501199040767386,
TL/04_efficientnetv2_without_tl,Bus,177.0,0.4350282485875706,0.5202702702702703,0.958186101295642,0.47384615384615386,
TL/04_efficientnetv2_without_tl,Shipping container,152.0,0.6907894736842105,0.5440414507772021,0.9489262913522926,0.6086956521739131,
TL/04_efficientnetv2_without_tl,Storage tank,147.0,0.7210884353741497,0.7969924812030075,0.984375,0.7571428571428571,
TL/04_efficientnetv2_without_tl,Dump truck,124.0,0.5161290322580645,0.5871559633027523,0.9743003997715591,0.5493562231759657,
TL/04_efficientnetv2_without_tl,Motorboat,107.0,0.719626168224299,0.6754385964912281,0.9790723981900452,0.6968325791855204,
TL/04_efficientnetv2_without_tl,Excavator,79.0,0.7088607594936709,0.7,0.9866369710467706,0.7044025157232704,
TL/04_efficientnetv2_without_tl,Fishing vessel,71.0,0.5211267605633803,0.6727272727272727,0.9900221729490022,0.5873015873015874,
TL/04_efficientnetv2_without_tl,Cargo plane,64.0,0.859375,0.9016393442622951,0.9966869133075649,0.88,
TL/04_efficientnetv2_without_tl,Pylon,31.0,0.7096774193548387,0.8148148148148148,0.9972885032537961,0.7586206896551724,
TL/04_efficientnetv2_without_tl,Helipad,11.0,0.45454545454545453,0.7142857142857143,0.9989270386266095,0.5555555555555556,
