epoch,loss,accuracy,val_loss,val_accuracy,lr,checkpoint
0,6.494094371795654,0.19963251054286957,2.206153154373169,0.2245333343744278,0.001,False
1,2.2047231197357178,0.236204132437706,1.9675222635269165,0.3456000089645386,0.001,False
2,1.8102495670318604,0.39736825227737427,1.5266046524047852,0.47999998927116394,0.001,False
3,1.50789475440979,0.4919092059135437,1.3063386678695679,0.5578666925430298,0.001,False
4,1.3539060354232788,0.5466777086257935,1.312974214553833,0.5642666816711426,0.001,False
5,1.2730522155761719,0.5738841891288757,1.2167153358459473,0.5962666869163513,0.001,False
6,1.1739760637283325,0.6035208106040955,1.1115477085113525,0.6309333443641663,0.001,False
7,1.0975847244262695,0.6292454600334167,1.100031852722168,0.6314666867256165,0.001,False
8,1.046860933303833,0.6440045237541199,1.1196460723876953,0.6309333443641663,0.001,False
9,0.9780865907669067,0.6671211123466492,1.043623447418213,0.6517333388328552,0.001,False
10,0.9064735174179077,0.6903562545776367,1.0740755796432495,0.6549333333969116,0.001,False
11,0.8327684998512268,0.7112796902656555,1.0702039003372192,0.6522666811943054,0.001,False
12,0.7799795866012573,0.7319068312644958,1.1018903255462646,0.6501333117485046,0.001,False
13,0.7336336970329285,0.7461324334144592,1.1520825624465942,0.6437333226203918,0.001,False
14,0.6896333694458008,0.7599430680274963,1.1121861934661865,0.6672000288963318,0.001,False
15,0.6448091268539429,0.7767767310142517,1.173542857170105,0.6661333441734314,0.001,False
16,0.6014582514762878,0.7891055941581726,1.204255223274231,0.6597333550453186,0.001,False
17,0.5617464780807495,0.8024420738220215,1.2569671869277954,0.6624000072479248,0.001,False
18,0.5371569991111755,0.8078359365463257,1.188684344291687,0.6687999963760376,0.001,False
19,0.48207661509513855,0.8275146484375,1.3695909976959229,0.6528000235557556,0.001,False
