epoch,loss,accuracy,val_loss,val_accuracy,lr,checkpoint
0,10.216280937194824,0.18706656992435455,2.4013113975524902,0.1722666621208191,0.001,True
1,2.207899332046509,0.24278347194194794,2.539473533630371,0.14933332800865173,0.001,False
2,2.1260578632354736,0.27087903022766113,2.277392625808716,0.21226666867733002,0.001,True
3,2.0646753311157227,0.29186177253723145,2.1003663539886475,0.2725333273410797,0.001,True
4,1.9521079063415527,0.3367316722869873,2.020965576171875,0.29973334074020386,0.001,True
5,1.8609462976455688,0.3597889840602875,1.8746421337127686,0.35733333230018616,0.001,True
6,1.7969917058944702,0.3800011873245239,1.9125878810882568,0.3343999981880188,0.001,False
7,1.7607789039611816,0.3909074664115906,1.706498384475708,0.40959998965263367,0.001,True
8,1.7225555181503296,0.40098392963409424,1.7676326036453247,0.3914666771888733,0.001,False
9,1.6867645978927612,0.41811391711235046,1.6731178760528564,0.42559999227523804,0.001,True
10,1.6630035638809204,0.41977357864379883,2.4225869178771973,0.26186665892601013,0.001,False
11,1.6346739530563354,0.42700493335723877,1.8462687730789185,0.35573333501815796,0.001,False
12,1.6103328466415405,0.4306798577308655,1.5997297763824463,0.4346666634082794,0.001,True
13,1.5928236246109009,0.44117122888565063,1.6196085214614868,0.4426666796207428,0.001,False
14,1.5659608840942383,0.4492916762828827,1.5656899213790894,0.438400000333786,0.001,True
15,1.5381144285202026,0.45480409264564514,1.7006981372833252,0.42239999771118164,0.001,False
16,1.532878041267395,0.4607906937599182,1.6968770027160645,0.4480000138282776,0.001,False
17,1.5299180746078491,0.46476203203201294,1.5403507947921753,0.47253334522247314,0.001,True
18,1.4990726709365845,0.47732797265052795,1.5974280834197998,0.4341333210468292,0.001,False
19,1.4962940216064453,0.4780392348766327,1.5437273979187012,0.4533333480358124,0.001,False
20,1.4788250923156738,0.4837294816970825,1.750005841255188,0.4026666581630707,0.001,False
21,1.460012674331665,0.48698949813842773,1.572434425354004,0.4426666796207428,0.001,False
22,1.45883309841156,0.49001243710517883,1.6534782648086548,0.451200008392334,0.001,False
23,1.4028781652450562,0.5068460702896118,1.4662749767303467,0.4890666604042053,0.0005,True
24,1.3864445686340332,0.517515242099762,1.3874897956848145,0.5103999972343445,0.0005,True
25,1.3741520643234253,0.5210123658180237,1.4645369052886963,0.47146666049957275,0.0005,False
26,1.3722130060195923,0.5244502425193787,1.3249400854110718,0.5226666927337646,0.0005,True
27,1.3460372686386108,0.5283030271530151,1.3435243368148804,0.5290666818618774,0.0005,False
28,1.3491264581680298,0.5335783362388611,1.459814190864563,0.4970666766166687,0.0005,False
29,1.338273525238037,0.5335783362388611,1.3350507020950317,0.5210666656494141,0.0005,False
30,1.326066255569458,0.5390907526016235,1.3597794771194458,0.5301333069801331,0.0005,False
31,1.3232847452163696,0.537549614906311,1.3233897686004639,0.5285333395004272,0.0005,True
32,1.3187239170074463,0.5420544147491455,1.3320413827896118,0.5301333069801331,0.0005,False
33,1.3205512762069702,0.5434176921844482,1.3230750560760498,0.5407999753952026,0.0005,True
34,1.307865858078003,0.5425878763198853,1.251677393913269,0.5616000294685364,0.0005,True
35,1.3030552864074707,0.546737015247345,1.2512973546981812,0.5610666871070862,0.0005,True
36,1.295809268951416,0.5523086786270142,1.3487420082092285,0.537066638469696,0.0005,False
37,1.2887831926345825,0.5517159700393677,2.023198127746582,0.41920000314712524,0.0005,False
38,1.2851160764694214,0.5535534620285034,1.2345002889633179,0.5690666437149048,0.0005,True
39,1.2808430194854736,0.5563985705375671,1.2552881240844727,0.5504000186920166,0.0005,False
