epoch,loss,accuracy,val_loss,val_accuracy,lr,checkpoint
0,1.6009736061096191,0.5730543732643127,0.8648905754089355,0.7135999798774719,0.001,False
1,0.9410044550895691,0.6961057186126709,0.8267878890037537,0.7290666699409485,0.001,False
2,0.7520424723625183,0.7512299418449402,0.7648782134056091,0.7440000176429749,0.001,False
3,0.6357755064964294,0.7835338711738586,0.7741320729255676,0.7637333273887634,0.001,False
4,0.5532045960426331,0.8131705522537231,0.7533177137374878,0.7663999795913696,0.001,False
5,0.4843279719352722,0.833441972732544,0.8300098180770874,0.769599974155426,0.001,False
6,0.42701226472854614,0.8516981601715088,0.8523602485656738,0.781333327293396,0.001,False
7,0.4054570496082306,0.8653310537338257,0.8630442023277283,0.7802666425704956,0.001,False
8,0.37198999524116516,0.8722659945487976,0.8528726100921631,0.7749333381652832,0.001,False
9,0.32807457447052,0.8860174417495728,0.9321011900901794,0.769599974155426,0.001,False
10,0.3129981458187103,0.8948491215705872,0.9117161631584167,0.7749333381652832,0.001,False
11,0.28699472546577454,0.9019619226455688,0.9959016442298889,0.776533305644989,0.001,False
12,0.22025014460086823,0.9218184947967529,0.9557727575302124,0.77920001745224,0.0005,False
13,0.18180155754089355,0.9362218976020813,0.9871492385864258,0.7904000282287598,0.0005,False
14,0.16136577725410461,0.944164514541626,1.0187506675720215,0.7888000011444092,0.0005,False
15,0.15691357851028442,0.9458242058753967,1.045800805091858,0.7856000065803528,0.0005,False
16,0.132948637008667,0.9527591466903687,1.1015496253967285,0.7866666913032532,0.0005,False
17,0.13369017839431763,0.9526406526565552,1.0274451971054077,0.7877333164215088,0.0005,False
18,0.12611828744411469,0.9548337459564209,1.1354396343231201,0.7850666642189026,0.0005,False
19,0.11195792257785797,0.9604054093360901,1.0903164148330688,0.7893333435058594,0.00025,False
