Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
TL/03_xception_replica,Global,1875.0,0.667415419274473,0.667415419274473,,,0.5898086125620419
TL/03_xception_replica,Building,359.0,0.8746518105849582,0.6826086956521739,0.9036939313984169,0.7667887667887668,
TL/03_xception_replica,Small car,332.0,0.8042168674698795,0.7585227272727273,0.9449125081011017,0.780701754385965,
TL/03_xception_replica,Truck,221.0,0.33031674208144796,0.3967391304347826,0.9328899637243047,0.3604938271604938,
TL/03_xception_replica,Bus,177.0,0.5649717514124294,0.4975124378109453,0.9405182567726738,0.5291005291005291,
TL/03_xception_replica,Shipping container,152.0,0.6578947368421053,0.591715976331361,0.9599535693557748,0.6230529595015577,
TL/03_xception_replica,Storage tank,147.0,0.4897959183673469,0.5714285714285714,0.96875,0.5274725274725275,
TL/03_xception_replica,Dump truck,124.0,0.5161290322580645,0.5871559633027523,0.9743003997715591,0.5493562231759657,
TL/03_xception_replica,Motorboat,107.0,0.42990654205607476,0.7931034482758621,0.9932126696832579,0.5575757575757576,
TL/03_xception_replica,Excavator,79.0,0.7721518987341772,0.6853932584269663,0.9844097995545658,0.7261904761904762,
TL/03_xception_replica,Fishing vessel,71.0,0.5352112676056338,0.8444444444444444,0.996119733924612,0.6551724137931035,
TL/03_xception_replica,Cargo plane,64.0,0.8125,0.9629629629629629,0.9988956377691883,0.8813559322033898,
TL/03_xception_replica,Pylon,31.0,0.5161290322580645,0.9411764705882353,0.9994577006507592,0.6666666666666666,
TL/03_xception_replica,Helipad,11.0,0.36363636363636365,0.36363636363636365,0.996244635193133,0.36363636363636365,
