epoch,loss,accuracy,val_loss,val_accuracy,lr,checkpoint
0,1.991510033607483,0.34479284286499023,1.9716770648956299,0.3391999900341034,0.001,False
1,1.510648250579834,0.487937867641449,1.5571966171264648,0.5077333450317383,0.001,False
2,1.3387993574142456,0.5413431525230408,1.4201622009277344,0.5381333231925964,0.001,False
3,1.215978741645813,0.5889988541603088,1.4523056745529175,0.5375999808311462,0.001,False
4,1.1171824932098389,0.6195246577262878,1.348104476928711,0.539733350276947,0.001,False
5,1.040728211402893,0.6471459865570068,1.2286266088485718,0.5914666652679443,0.001,False
6,0.9600293636322021,0.6704403758049011,1.1868793964385986,0.6058666706085205,0.001,False
7,0.8974117040634155,0.6856143474578857,1.2173984050750732,0.6229333281517029,0.001,False
8,0.8212551474571228,0.7125837206840515,1.184916615486145,0.6362666487693787,0.001,False
9,0.7624213099479675,0.7346926927566528,1.1314805746078491,0.6437333226203918,0.001,False
10,0.7056835293769836,0.7496888041496277,1.3662837743759155,0.6047999858856201,0.001,False
11,0.6405788064002991,0.7729832530021667,1.400679111480713,0.6255999803543091,0.001,False
12,0.5790884494781494,0.7900539636611938,1.5146229267120361,0.6250666379928589,0.001,False
13,0.5235512852668762,0.8121628761291504,1.3875068426132202,0.644266664981842,0.001,False
14,0.48032593727111816,0.826507031917572,1.6413522958755493,0.5898666381835938,0.001,False
15,0.43430912494659424,0.8413846492767334,1.410712480545044,0.6597333550453186,0.001,False
16,0.3925078809261322,0.8582774996757507,1.5688954591751099,0.6453333497047424,0.001,False
17,0.3644537329673767,0.8696579933166504,1.9167603254318237,0.6149333119392395,0.001,False
18,0.323329359292984,0.8811570405960083,1.7619171142578125,0.649066686630249,0.001,False
19,0.3017370402812958,0.889751672744751,1.7103394269943237,0.6426666378974915,0.001,False
