epoch,loss,accuracy,val_loss,val_accuracy,lr,checkpoint
0,2.2632644176483154,0.42350777983665466,1.2350850105285645,0.5946666598320007,0.001,False
1,1.4219928979873657,0.5339339971542358,1.1162075996398926,0.6426666378974915,0.001,False
2,1.2466325759887695,0.5811747908592224,1.028153419494629,0.6672000288963318,0.001,False
3,1.102391004562378,0.6178649663925171,1.0564202070236206,0.6815999746322632,0.001,False
4,1.0330173969268799,0.6411001086235046,0.9901442527770996,0.7045333385467529,0.001,False
5,0.9525886178016663,0.6626756191253662,0.9381459355354309,0.7071999907493591,0.001,False
6,0.8725515604019165,0.6839547157287598,0.9655331373214722,0.7056000232696533,0.001,False
7,0.8178730607032776,0.7046411037445068,0.961483895778656,0.7114666700363159,0.001,False
8,0.7818475365638733,0.713828444480896,0.9688192009925842,0.7098666429519653,0.001,False
9,0.7389258146286011,0.7224230766296387,0.9931471347808838,0.7061333060264587,0.001,False
10,0.7170571088790894,0.7335072159767151,0.976118803024292,0.7226666808128357,0.001,False
11,0.682823657989502,0.74453204870224,1.0419936180114746,0.7226666808128357,0.001,False
12,0.6492900252342224,0.7573350667953491,0.9692367315292358,0.7210666537284851,0.001,False
13,0.6433605551719666,0.7536008358001709,1.0565159320831299,0.7162666916847229,0.001,False
14,0.6109857559204102,0.7725682854652405,1.0588504076004028,0.7237333059310913,0.001,False
15,0.574638307094574,0.7806887626647949,1.1235899925231934,0.7226666808128357,0.001,False
16,0.5608624815940857,0.7835338711738586,1.2452672719955444,0.7093333601951599,0.001,False
17,0.5679475665092468,0.7847785949707031,1.2135934829711914,0.7082666754722595,0.001,False
18,0.5733336210250854,0.7838302254676819,1.2294503450393677,0.7109333276748657,0.001,False
19,0.5435807108879089,0.7973445653915405,1.1611254215240479,0.7162666916847229,0.001,False
