epoch,loss,accuracy,val_loss,val_accuracy,lr,checkpoint
0,3.1667628288269043,0.38391321897506714,1.4371590614318848,0.53493332862854,0.001,False
1,1.6007026433944702,0.4954063296318054,1.2109613418579102,0.6064000129699707,0.001,False
2,1.4346216917037964,0.5304368734359741,1.154975175857544,0.6570666432380676,0.001,False
3,1.2731374502182007,0.5668899416923523,1.086925745010376,0.6570666432380676,0.001,False
4,1.1578443050384521,0.5933258533477783,1.0671930313110352,0.6944000124931335,0.001,False
5,1.0925172567367554,0.6118783950805664,0.9701794981956482,0.7039999961853027,0.001,False
6,1.0182082653045654,0.6313793063163757,1.018380045890808,0.6917333602905273,0.001,False
7,0.9627082347869873,0.6438266634941101,1.042138695716858,0.7130666375160217,0.001,False
8,0.9082500338554382,0.6606603264808655,0.9556601047515869,0.7098666429519653,0.001,False
9,0.8615427613258362,0.6759527921676636,0.9865158200263977,0.7077333331108093,0.001,False
10,0.8458732962608337,0.6796870231628418,1.0141831636428833,0.7226666808128357,0.001,False
11,0.7918895483016968,0.6996028423309326,1.015655517578125,0.7221333384513855,0.001,False
12,0.7599090933799744,0.7106276750564575,0.9901949167251587,0.7274666428565979,0.001,False
13,0.7495438456535339,0.7135913968086243,1.0573499202728271,0.7285333275794983,0.001,False
14,0.7156981229782104,0.7288838624954224,1.0555665493011475,0.7381333112716675,0.001,False
15,0.7119223475456238,0.7265722155570984,1.0278558731079102,0.7264000177383423,0.001,False
16,0.688302218914032,0.7307806015014648,1.0357125997543335,0.7237333059310913,0.001,False
17,0.6740037798881531,0.7408570647239685,1.0465883016586304,0.7279999852180481,0.001,False
18,0.6579480171203613,0.7435243725776672,1.140628457069397,0.7215999960899353,0.001,False
19,0.656611979007721,0.7453026175498962,1.1710796356201172,0.7200000286102295,0.001,False
